OBJECTID,advisorySpeed,bicycle,bridge,bus,carStationWagon,cliffBank,crashDirectionDescription,crashFinancialYear,crashLocation1,crashLocation2,crashRoadSideRoad,crashSeverity,crashSHDescription,crashYear,debris,directionRoleDescription,ditch,fatalCount,fence,flatHill,guardRail,holiday,houseOrBuilding,intersection,kerb,light,minorInjuryCount,moped,motorcycle,NumberOfLanes,objectThrownOrDropped,otherObject,otherVehicleType,overBank,parkedVehicle,pedestrian,phoneBoxEtc,postOrPole,region,roadCharacter,roadLane,roadSurface,roadworks,schoolBus,seriousInjuryCount,slipOrFlood,speedLimit,strayAnimal,streetLight,suv,taxi,temporarySpeedLimit,tlaName,trafficControl,trafficIsland,trafficSign,train,tree,truck,unknownVehicleType,urban,vanOrUtility,vehicle,waterRiver,weatherA,weatherB,lat,lng
335197,,0,,0,0,,North,2006/2007,HARINGTON POINT ROAD,TILY ST,,Minor Crash,No,2007,,North,,0,,Hill Road,,,,,,Overcast,1,0,0,2,,,0,,,,,,Otago Region,Nil,2-way,Sealed,,0,0,,50,,Null,0,0,,Dunedin City,Unknown,,,,,1,0,Urban,0,,,Fine,Null,-45.8385849653687,170.655239974663
335277,,0,,0,1,,South,2007/2008,SH 57,OLD WEST ROAD,,Non-Injury Crash,Yes,2007,,South,,0,,Hill Road,,,,,,Overcast,0,0,0,2,,,0,,,,,,Manawatū-Whanganui Region,Nil,2-way,Sealed,,0,0,,100,,Null,1,0,,Palmerston North City,Nil,,,,,0,0,Open,0,,,Fine,Null,-40.4056926066842,175.613285857509
335357,,0,,0,0,,Null,2007/2008,SH 3,TE KUMI STATION ROAD,,Non-Injury Crash,Yes,2007,,South,,0,,Flat,,,,,,Overcast,0,0,0,2,,,0,,,,,,Waikato Region,Nil,2-way,Sealed,,0,0,,100,,Off,0,0,,Waitomo District,Give way,,,,,1,0,Open,1,,,Fine,Null,-38.307850303329,175.145840272189
335437,,0,0,0,2,0,West,2007/2008,MARUA ROAD,WHITES WAY,,Non-Injury Crash,No,2007,0,West,0,0,0,Flat,0,,0,,0,Dark,0,0,0,2,0,0,0,0,1,,0,1,Auckland Region,Nil,2-way,Sealed,0,0,0,0,50,0,On,0,0,,Auckland,Nil,0,0,0,0,0,0,Urban,0,0,0,Light rain,Null,-36.890964254607,174.820414449329
335517,,0,,0,2,,West,2006/2007,COMMERCE ST,OKARA DRIVE,,Non-Injury Crash,No,2007,,East,,0,,Flat,,Easter,,,,Overcast,0,0,0,2,,,0,,,,,,Northland Region,Nil,2-way,Sealed,,0,0,,50,,Off,0,0,,Whangarei District,Nil,,,,,0,0,Urban,0,,,Fine,Null,-35.7309933699654,174.32535633421
335597,,0,,0,2,,West,2007/2008,MUNGAVIN AVENUE,MUNGAVIN OFF SBD,,Non-Injury Crash,No,2007,,East,,0,,Flat,,,,,,Dark,0,0,0,2,,,0,,,,,,Wellington Region,Bridge,1-way,Sealed,,0,0,,50,,On,0,0,,Porirua City,Nil,,,,,0,0,Urban,0,,,Light rain,Null,-41.1382713817947,174.846033581247
335677,,0,,0,1,,East,2006/2007,COVENTRY AVENUE,DURHAM AVENUE,,Non-Injury Crash,No,2007,,East,,0,,Flat,,,,,,Overcast,0,0,0,2,,,0,,,,,,Hawke's Bay Region,Nil,2-way,Sealed,,0,0,,50,,Null,1,0,,Napier City,Nil,,,,,0,0,Urban,0,,,Fine,Null,-39.5112315788182,176.869083091406
335757,,0,0,0,2,0,Null,2007/2008,QUEENS DRIVE,MARKET ST,,Serious Crash,No,2008,0,East,0,0,0,Flat,0,,0,,0,Dark,0,0,0,2,0,0,0,0,1,,0,0,Otago Region,Nil,2-way,Sealed,0,0,1,0,50,0,On,0,0,,Dunedin City,Give way,0,0,0,0,0,0,Urban,0,0,0,Fine,Null,-45.901717209631,170.50985449244
335837,,0,,0,2,,Null,2007/2008,KHYBER PASS ROAD,NEWTON ROAD,,Non-Injury Crash,No,2007,,West,,0,,Flat,,,,,,Dark,0,0,0,4,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,0,,50,,On,0,0,,Auckland,Traffic Signals,,,,,0,0,Urban,0,,,Fine,Null,-36.8637837760492,174.760956186371
335917,,0,0,0,2,0,South,2007/2008,SHIRLEY ROAD,JENNIFER PLACE,,Non-Injury Crash,No,2007,0,South,0,0,0,Flat,0,,0,,0,Dark,0,0,0,2,0,0,0,0,1,,0,0,Auckland Region,Nil,2-way,Sealed,0,0,0,0,50,0,On,0,0,,Auckland,Nil,0,0,0,0,0,0,Urban,0,0,0,Fine,Null,-36.9757937718962,174.84919258407
